id,date,Minneapolis
523,10/23/12,62
524,10/23/12,66
525,10/23/12,71
526,10/23/12,76
527,10/23/12,81
528,10/23/12,76
529,10/23/12,76
530,10/23/12,76
531,10/23/12,76
532,10/23/12,76
533,10/23/12,66
534,10/23/12,58
535,10/23/12,76
536,10/23/12,71
537,10/23/12,67
538,10/23/12,51
539,10/23/12,51
540,10/23/12,63
541,10/24/12,67
542,10/24/12,67
543,10/24/12,71
544,10/24/12,76
545,10/24/12,76
546,10/24/12,87
547,10/24/12,82
548,10/24/12,82
549,10/24/12,87
550,10/24/12,93
551,10/24/12,93
552,10/24/12,93
553,10/24/12,93
554,10/24/12,93
555,10/24/12,100
556,10/24/12,93
557,10/24/12,93
558,10/24/12,87
559,10/24/12,82
560,10/24/12,88
561,10/24/12,88
562,10/24/12,88
563,10/24/12,82
564,10/24/12,72
565,10/25/12,77
566,10/25/12,82
567,10/25/12,87
568,10/25/12,87
569,10/25/12,93
570,10/25/12,82
571,10/25/12,87
572,10/25/12,93
573,10/25/12,87
574,10/25/12,87
575,10/25/12,93
576,10/25/12,87
577,10/25/12,87
578,10/25/12,87
579,10/25/12,87
580,10/25/12,87
581,10/25/12,77
582,10/25/12,77
583,10/25/12,87
584,10/25/12,93
585,10/25/12,93
586,10/25/12,100
587,10/25/12,93
588,10/25/12,93
589,10/26/12,93
590,10/26/12,93
591,10/26/12,87
592,10/26/12,87
593,10/26/12,87
594,10/26/12,87
595,10/26/12,93
596,10/26/12,87
597,10/26/12,93
598,10/26/12,93
599,10/26/12,87
600,10/26/12,93
601,10/26/12,87
602,10/26/12,93
603,10/26/12,93
604,10/26/12,93
605,10/26/12,93
606,10/26/12,93
607,10/26/12,93
608,10/26/12,
609,10/26/12,86
610,10/26/12,74
611,10/26/12,69
612,10/26/12,64
613,10/27/12,64
614,10/27/12,64
615,10/27/12,64
616,10/27/12,64
617,10/27/12,59
618,10/27/12,59
619,10/27/12,59
620,10/27/12,55
621,10/27/12,64
622,10/27/12,64
623,10/27/12,69
624,10/27/12,69
625,10/27/12,69
626,10/27/12,69
627,10/27/12,64
628,10/27/12,
629,10/27/12,51
630,10/27/12,48
631,10/27/12,48
632,10/27/12,51
633,10/27/12,47
634,10/27/12,48
635,10/27/12,48
636,10/27/12,48
637,10/28/12,51
638,10/28/12,55
639,10/28/12,59
640,10/28/12,64
641,10/28/12,69
642,10/28/12,69
643,10/28/12,74
644,10/28/12,74
645,10/28/12,74
646,10/28/12,
647,10/28/12,
648,10/28/12,86
649,10/28/12,80
650,10/28/12,86
651,10/28/12,
652,10/28/12,74
653,10/28/12,64
654,10/28/12,48
655,10/28/12,41
656,10/28/12,35
657,10/28/12,35
658,10/28/12,38
659,10/28/12,41
660,10/28/12,44
661,10/29/12,48
662,10/29/12,51
663,10/29/12,55
664,10/29/12,55
665,10/29/12,64
666,10/29/12,
667,10/29/12,
668,10/29/12,80
669,10/29/12,
670,10/29/12,80
671,10/29/12,80
672,10/29/12,74
673,10/29/12,74
674,10/29/12,74
675,10/29/12,74
676,10/29/12,64
677,10/29/12,55
678,10/29/12,48
679,10/29/12,41
680,10/29/12,38
681,10/29/12,39
682,10/29/12,39
683,10/29/12,39
684,10/29/12,39
685,10/30/12,48
686,10/30/12,48
687,10/30/12,51
688,10/30/12,55
689,10/30/12,48
690,10/30/12,51
691,10/30/12,59
692,10/30/12,59
693,10/30/12,59
694,10/30/12,
695,10/30/12,
696,10/30/12,68
697,10/30/12,
698,10/30/12,
699,10/30/12,64
700,10/30/12,55
701,10/30/12,51
702,10/30/12,52
703,10/30/12,52
704,10/30/12,52
705,10/30/12,48
706,10/30/12,48
707,10/30/12,48
708,10/30/12,45
709,10/31/12,45
710,10/31/12,48
711,10/31/12,48
712,10/31/12,48
713,10/31/12,48
714,10/31/12,59
715,10/31/12,74
716,10/31/12,86
717,10/31/12,86
718,10/31/12,86
719,10/31/12,86
720,10/31/12,80
721,10/31/12,79
722,10/31/12,74
723,10/31/12,74
724,10/31/12,64
725,10/31/12,56
726,10/31/12,49
727,10/31/12,45
728,10/31/12,42
729,10/31/12,39
730,10/31/12,37
731,10/31/12,39
732,10/31/12,39
733,11/1/12,35
734,11/1/12,41
735,11/1/12,40
736,11/1/12,40
737,11/1/12,47
738,11/1/12,
739,11/1/12,
740,11/1/12,63
741,11/1/12,58
742,11/1/12,58
743,11/1/12,63
744,11/1/12,68
745,11/1/12,63
746,11/1/12,73
747,11/1/12,68
748,11/1/12,55
749,11/1/12,47
750,11/1/12,38
751,11/1/12,33
752,11/1/12,29
753,11/1/12,23
754,11/1/12,31
755,11/1/12,27
756,11/1/12,36
757,11/2/12,36
758,11/2/12,39
759,11/2/12,48
760,11/2/12,45
761,11/2/12,42
762,11/2/12,45
763,11/2/12,45
764,11/2/12,56
765,11/2/12,60
766,11/2/12,64
767,11/2/12,65
768,11/2/12,56
769,11/2/12,60
770,11/2/12,69
771,11/2/12,75
772,11/2/12,60
773,11/2/12,56
774,11/2/12,56
775,11/2/12,48
776,11/2/12,52
777,11/2/12,42
778,11/2/12,42
779,11/2/12,39
780,11/2/12,48
781,11/3/12,51
782,11/3/12,51
783,11/3/12,55
784,11/3/12,59
785,11/3/12,59
786,11/3/12,68
787,11/3/12,
788,11/3/12,68
789,11/3/12,74
790,11/3/12,74
791,11/3/12,74
792,11/3/12,74
793,11/3/12,79
794,11/3/12,79
795,11/3/12,80
796,11/3/12,
797,11/3/12,69
798,11/3/12,64
799,11/3/12,59
800,11/3/12,69
801,11/3/12,69
802,11/3/12,69
803,11/3/12,69
804,11/3/12,55
805,11/4/12,55
806,11/4/12,59
807,11/4/12,59
808,11/4/12,55
809,11/4/12,59
810,11/4/12,59
811,11/4/12,59
812,11/4/12,59
813,11/4/12,59
814,11/4/12,59
815,11/4/12,59
816,11/4/12,59
817,11/4/12,59
818,11/4/12,59
819,11/4/12,59
820,11/4/12,59
821,11/4/12,55
822,11/4/12,60
823,11/4/12,69
824,11/4/12,69
825,11/4/12,52
826,11/4/12,52
827,11/4/12,52
828,11/4/12,52
829,11/5/12,52
830,11/5/12,56
831,11/5/12,56
832,11/5/12,56
833,11/5/12,64
834,11/5/12,64
835,11/5/12,64
836,11/5/12,74
837,11/5/12,80
838,11/5/12,80
839,11/5/12,80
840,11/5/12,80
841,11/5/12,92
842,11/5/12,86
843,11/5/12,
844,11/5/12,86
845,11/5/12,80
846,11/5/12,
847,11/5/12,
848,11/5/12,
849,11/5/12,
850,11/5/12,30
851,11/5/12,60
852,11/5/12,60
853,11/6/12,
854,11/6/12,30
855,11/6/12,60
856,11/6/12,60
857,11/6/12,60
858,11/6/12,60
859,11/6/12,60
860,11/6/12,79
861,11/6/12,79
862,11/6/12,79
863,11/6/12,79
864,11/6/12,79
865,11/6/12,79
866,11/6/12,90
867,11/6/12,90
868,11/6/12,90
869,11/6/12,90
870,11/6/12,91
871,11/6/12,93
872,11/6/12,65
873,11/6/12,86
874,11/6/12,86
875,11/6/12,70
876,11/6/12,70
877,11/7/12,70
