ID,STATION,NAME,DATE,PRCP,TMAX,TMIN
246,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/3/17,0,78,57
247,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/4/17,0,83,59
248,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/5/17,0.12,73,50
249,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/6/17,0.01,62,46
250,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/7/17,0,65,45
251,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/8/17,0,65,45
252,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/9/17,0,66,49
253,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/10/17,0,72,52
254,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/11/17,0,78,58
255,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/12/17,0,79,58
256,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/13/17,0,83,61
257,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/14/17,0,84,63
258,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/15/17,0,87,65
259,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/16/17,0,80,68
260,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/17/17,0.03,74,50
261,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/18/17,0,64,49
262,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/19/17,0.33,58,53
263,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/20/17,0.25,77,58
264,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/21/17,0,73,49
265,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/22/17,0,80,52
266,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/23/17,0,91,71
267,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/24/17,0,86,68
268,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/25/17,0.31,87,58
269,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/26/17,0.19,60,55
270,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/27/17,0.01,62,46
271,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/28/17,0,64,46
272,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/29/17,0,62,46
273,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",9/30/17,0,62,44
274,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/1/17,0.12,67,45
275,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/2/17,0.73,61,52
276,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/3/17,2.05,69,53
277,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/4/17,0.06,69,45
278,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/5/17,0,57,44
279,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/6/17,0.02,63,44
280,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/7/17,0.65,58,46
281,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/8/17,0.02,65,49
282,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/9/17,0,68,44
283,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/10/17,0,54,32
284,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/11/17,0,50,32
285,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/12/17,0,53,36
286,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/13/17,0,62,45
287,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/14/17,0,58,42
288,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/15/17,0.58,56,39
289,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/16/17,0,51,38
290,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/17/17,0,64,37
291,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/18/17,0,71,44
292,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/19/17,0,70,40
293,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/20/17,0,71,39
294,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/21/17,0.26,76,52
295,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/22/17,0.12,66,48
296,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/23/17,0,61,48
297,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/24/17,0,58,40
298,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/25/17,0,49,35
299,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/26/17,0,55,35
300,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/27/17,0.11,55,32
301,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/28/17,0.12,32,28
302,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/29/17,0,31,27
303,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",10/30/17,0,41,30
